id,name,file,x0,y0,x1,y1,width,height,area_px
26,decor_confetti_purple_curve,components/026_decor_confetti_purple_curve.png,1353,200,1395,246,42,46,378
27,decor_square_yellow,components/027_decor_square_yellow.png,1269,205,1311,248,42,43,469
28,decor_sparkle_green,components/028_decor_sparkle_green.png,1137,213,1190,270,53,57,624
29,decor_bunting_flags,components/029_decor_bunting_flags.png,1015,221,1430,338,415,117,12467
30,cloud_white,components/030_cloud_white.png,717,222,819,311,102,89,4213
31,cloud_lavender,components/031_cloud_lavender.png,911,224,1008,311,97,87,3838
32,cloud_pink,components/032_cloud_pink.png,823,233,910,310,87,77,2876
33,label_obake,components/033_label_obake.png,30,298,130,350,100,52,2372
34,label_usagi,components/034_label_usagi.png,161,298,261,350,100,52,2379
35,label_neko,components/035_label_neko.png,292,298,385,350,93,52,2142
36,label_penguin,components/036_label_penguin.png,408,298,511,350,103,52,2444
37,label_hiyoko,components/037_label_hiyoko.png,511,298,604,350,93,52,2136
38,label_kaeru,components/038_label_kaeru.png,605,298,696,350,91,52,2101
39,arrow_right_pink,components/039_arrow_right_pink.png,715,305,791,378,76,73,1866
40,arrow_left_purple,components/040_arrow_left_purple.png,786,305,864,378,78,73,1907
41,arrow_up_blue,components/041_arrow_up_blue.png,870,305,941,379,71,74,1745
42,arrow_down_green,components/042_arrow_down_green.png,938,305,1009,379,71,74,1790
43,room_id_field,components/043_room_id_field.png,1020,332,1410,408,390,76,19448
44,button_create_room,components/044_button_create_room.png,12,364,374,518,362,154,43566
45,button_join_room,components/045_button_join_room.png,366,364,710,516,344,152,40536
46,object_pancakes,components/046_object_pancakes.png,707,384,922,545,215,161,21182
47,word_badge_amai,components/047_word_badge_amai.png,918,415,1038,508,120,93,6090
48,word_badge_marui,components/048_word_badge_marui.png,1032,415,1150,508,118,93,5892
49,word_badge_yaku,components/049_word_badge_yaku.png,1144,415,1250,508,106,93,5151
50,word_badge_asagohan,components/050_word_badge_asagohan.png,1242,415,1393,509,151,94,8034
51,button_game_start,components/051_button_game_start.png,8,518,570,655,562,137,60857
52,timer_62_seconds,components/052_timer_62_seconds.png,870,523,991,646,121,123,8484
53,score_badge_260pt,components/053_score_badge_260pt.png,986,524,1101,642,115,118,7500
54,score_badge_210pt,components/054_score_badge_210pt.png,1093,524,1208,642,115,118,7483
55,score_badge_180pt,components/055_score_badge_180pt.png,1200,525,1313,642,113,117,7205
56,score_badge_130pt,components/056_score_badge_130pt.png,1305,525,1418,642,113,117,7154
57,mascot_chick_flag,components/057_mascot_chick_flag.png,571,535,713,655,142,120,7592
58,button_decide_blue,components/058_button_decide_blue.png,475,646,602,771,127,125,9214
59,panel_pink_bunting,components/059_panel_pink_bunting.png,638,647,1025,823,387,176,57094
60,panel_lavender,components/060_panel_lavender.png,1030,647,1414,823,384,176,56353
61,button_next_round,components/061_button_next_round.png,15,649,457,765,442,116,39035
62,tab_ranking,components/062_tab_ranking.png,16,776,168,842,152,66,5634
63,tab_settings,components/063_tab_settings.png,168,776,291,841,123,65,4300
64,tab_how_to_play,components/064_tab_how_to_play.png,294,776,450,841,156,65,5776
65,tab_chat,components/065_tab_chat.png,454,776,594,841,140,65,5049
66,panel_cream_lightbulb,components/066_panel_cream_lightbulb.png,1033,820,1416,1021,383,201,60932
67,panel_mint,components/067_panel_mint.png,640,831,1024,1020,384,189,61071
68,chip_host,components/068_chip_host.png,19,853,127,911,108,58,3067
69,chip_inputting,components/069_chip_inputting.png,132,853,244,910,112,57,3111
70,chip_yosshi,components/070_chip_yosshi.png,248,853,365,910,117,57,3334
71,chip_waiting,components/071_chip_waiting.png,369,853,500,911,131,58,3837
72,chip_theme,components/072_chip_theme.png,504,853,608,910,104,57,2871
73,rank_medal_1,components/073_rank_medal_1.png,367,916,437,1009,70,93,2823
74,rank_medal_2,components/074_rank_medal_2.png,430,917,500,1009,70,92,2669
75,rank_medal_3,components/075_rank_medal_3.png,492,917,563,1009,71,92,2670
76,number_badge_1,components/076_number_badge_1.png,14,925,84,999,70,74,2133
77,number_badge_2,components/077_number_badge_2.png,71,924,139,997,68,73,2016
78,number_badge_3,components/078_number_badge_3.png,127,925,196,997,69,72,2038
79,number_badge_4,components/079_number_badge_4.png,183,925,253,997,70,72,2062
80,number_badge_5,components/080_number_badge_5.png,240,925,309,997,69,72,2039
81,number_badge_6,components/081_number_badge_6.png,297,925,366,997,69,72,2060
82,number_badge_4_white,components/082_number_badge_4_white.png,561,926,634,1002,73,76,2417
